player_id,name,pos,dob,current_team,year,team,g,pa,hr,r,rbi,sb,avg,normal_hr,normal_r,normal_rbi,normal_sb,normal_avg,z_hr,z_r,z_rbi,z_sb,z_avg,value,cost,drafted
914,Brennan Boesch,OF,31149,Yankees,2014,Steamer,0,1,0,0,0,0,0.255,0,0,0,0,0.255,-1.32,-1.95,-1.89,-0.86,2.21,0.00,0,0
7799,Joey Butler,DH/OF,31483,Rangers,2014,Steamer,0,1,0,0,0,0,0.253,0,0,0,0,0.253,-1.32,-1.95,-1.89,-0.86,2.19,0.00,0,0
3492,Angel Sanchez,SS,30579,White Sox,2014,Steamer,0,1,0,0,0,0,0.251,0,0,0,0,0.251,-1.32,-1.95,-1.89,-0.86,2.17,0.00,0,0
5476,Brandon Laird,1B/3B,32031,Astros,2014,Steamer,0,1,0,0,0,0,0.251,0,0,0,0,0.251,-1.32,-1.95,-1.89,-0.86,2.17,0.00,0,0
8175,Chris Nelson,3B,31293,Angels,2014,Steamer,0,1,0,0,0,0,0.25,0,0,0,0,0.25,-1.32,-1.95,-1.89,-0.86,2.16,0.00,0,0
8175,Chris Nelson,3B,31293,Yankees,2014,Steamer,0,1,0,0,0,0,0.25,0,0,0,0,0.25,-1.32,-1.95,-1.89,-0.86,2.16,0.00,0,0
7095,Chris Dickerson,OF,30051,Orioles,2014,Steamer,0,1,0,0,0,0,0.245,0,0,0,0,0.245,-1.32,-1.95,-1.89,-0.86,2.10,0.00,0,0
5219,Wilkin Ramirez,OF,31345,Twins,2014,Steamer,0,1,0,0,0,0,0.244,0,0,0,0,0.244,-1.32,-1.95,-1.89,-0.86,2.09,0.00,0,0
3402,Trevor Crowe,OF,30637,Astros,2014,Steamer,0,1,0,0,0,0,0.244,0,0,0,0,0.244,-1.32,-1.95,-1.89,-0.86,2.09,0.00,0,0
9856,Brandon Snyder,1B/3B,31739,Red Sox,2014,Steamer,0,1,0,0,0,0,0.243,0,0,0,0,0.243,-1.32,-1.95,-1.89,-0.86,2.08,0.00,0,0
9048,Ezequiel Carrera,OF,31939,Indians,2014,Steamer,0,1,0,0,0,0,0.243,0,0,0,0,0.243,-1.32,-1.95,-1.89,-0.86,2.08,0.00,0,0
1274,Alex Rodriguez,3B/SS,27602,Yankees,2014,Steamer,0,1,0,0,0,0,0.243,0,0,0,0,0.243,-1.32,-1.95,-1.89,-0.86,2.08,0.00,0,0
7949,Tim Beckham,2B/SS,32900,Rays,2014,Steamer,0,1,0,0,0,0,0.242,0,0,0,0,0.242,-1.32,-1.95,-1.89,-0.86,2.07,0.00,0,0
5665,Yamaico Navarro,3B/SS,32081,Orioles,2014,Steamer,0,1,0,0,0,0,0.242,0,0,0,0,0.242,-1.32,-1.95,-1.89,-0.86,2.07,0.00,0,0
1417,Ramon Santiago,2B/SS,29098,Tigers,2014,Steamer,0,1,0,0,0,0,0.242,0,0,0,0,0.242,-1.32,-1.95,-1.89,-0.86,2.07,0.00,0,0
